attack_type,malicious_ratio,envId,envName,formationType,formationName,method,TN,FP,FN,TP,accuracy,precision,recall,f1,fp_rate,fn_rate
random,0.3,3,DenseUrban,0,Horizontal,Static Phase 1,8800,23120,1791,11889,0.453706140350877,0.339598388985689,0.869078947368421,0.488364928423258,0.724310776942356,0.130921052631579
random,0.3,3,DenseUrban,0,Horizontal,Static Phase 1+2,5504,26416,790,12890,0.403377192982456,0.327939754744823,0.942251461988304,0.486543615294606,0.827568922305764,0.0577485380116959
random,0.3,3,DenseUrban,0,Horizontal,SAC Dynamic Phase 1,23211,8709,6876,6804,0.658223684210526,0.438599883968285,0.497368421052632,0.466139142945227,0.272838345864662,0.502631578947368
random,0.3,3,DenseUrban,0,Horizontal,SAC Dynamic Phase 1+2,8405,23515,634,13046,0.470416666666667,0.356828314324006,0.953654970760234,0.519336796640194,0.736685463659148,0.0463450292397661
random,0.3,3,DenseUrban,1,Random-Matrix,Static Phase 1,12744,19176,1891,11789,0.538004385964912,0.380720167931536,0.861769005847953,0.528121850151193,0.600751879699248,0.138230994152047
random,0.3,3,DenseUrban,1,Random-Matrix,Static Phase 1+2,5211,26709,1104,12576,0.390065789473684,0.32012218403971,0.919298245614035,0.47487963749646,0.836748120300752,0.0807017543859649
random,0.3,3,DenseUrban,1,Random-Matrix,SAC Dynamic Phase 1,24445,7475,5454,8226,0.716469298245614,0.523915674160881,0.601315789473684,0.559953711582315,0.234179197994987,0.398684210526316
random,0.3,3,DenseUrban,1,Random-Matrix,SAC Dynamic Phase 1+2,9485,22435,1604,12076,0.472828947368421,0.349917417634957,0.882748538011696,0.501172418086365,0.702850877192982,0.117251461988304
random,0.3,3,DenseUrban,2,Circular,Static Phase 1,12252,19668,2123,11557,0.522127192982456,0.370120096076861,0.844809941520468,0.51473109898675,0.616165413533835,0.155190058479532
random,0.3,3,DenseUrban,2,Circular,Static Phase 1+2,5784,26136,619,13061,0.413267543859649,0.333214276602801,0.954751461988304,0.494014410802428,0.818796992481203,0.0452485380116959
random,0.3,3,DenseUrban,2,Circular,SAC Dynamic Phase 1,25697,6223,6553,7127,0.719824561403509,0.533857677902622,0.520979532163743,0.527339992600814,0.194956140350877,0.479020467836257
random,0.3,3,DenseUrban,2,Circular,SAC Dynamic Phase 1+2,13214,18706,896,12784,0.570131578947368,0.405970149253731,0.934502923976608,0.566039406685853,0.586027568922306,0.0654970760233918
random,0.4,0,Perfect-NoNoise,0,Horizontal,Static Phase 1,17952,9408,3030,15210,0.727236842105263,0.617840604435779,0.833881578947368,0.709785804283914,0.343859649122807,0.166118421052632
random,0.4,0,Perfect-NoNoise,0,Horizontal,Static Phase 1+2,12184,15176,1292,16948,0.638859649122807,0.527580625077823,0.929166666666667,0.673020411404972,0.554678362573099,0.0708333333333333
random,0.4,0,Perfect-NoNoise,0,Horizontal,SAC Dynamic Phase 1,16380,10980,699,17541,0.743881578947368,0.615020511202272,0.961677631578947,0.75024058510297,0.401315789473684,0.0383223684210526
random,0.4,0,Perfect-NoNoise,0,Horizontal,SAC Dynamic Phase 1+2,15211,12149,351,17889,0.725877192982456,0.595545642186564,0.980756578947368,0.741082894900369,0.444042397660819,0.0192434210526316
random,0.4,0,Perfect-NoNoise,1,Random-Matrix,Static Phase 1,17552,9808,2246,15994,0.735657894736842,0.619874428338889,0.876864035087719,0.726306707234004,0.358479532163743,0.123135964912281
random,0.4,0,Perfect-NoNoise,1,Random-Matrix,Static Phase 1+2,14608,12752,683,17557,0.705372807017544,0.579266884423769,0.962554824561404,0.723269274341387,0.466081871345029,0.0374451754385965
random,0.4,0,Perfect-NoNoise,1,Random-Matrix,SAC Dynamic Phase 1,16322,11038,543,17697,0.746030701754386,0.615869149121281,0.970230263157895,0.753464608834487,0.40343567251462,0.0297697368421053
random,0.4,0,Perfect-NoNoise,1,Random-Matrix,SAC Dynamic Phase 1+2,15574,11786,207,18033,0.736995614035088,0.604748650189477,0.988651315789474,0.750452568717618,0.43077485380117,0.0113486842105263
